entry_id	lemma_1_gh_orth	gloss	pos	entry_status	lemma_1_pre_orth	lemma_1_pre_root
10878	akuménezos	personal epithet, lit. 'sharp mind / sharp thought'	noun (name)	draft		
11463	véi	1.pl pronoun	pronoun	draft		
12988	vezurégus	personal epithet lit. 'good rule'	noun (name)	draft		
13699	áu	or; else; alternatively	conj	draft		
13918	noβā	nave (of a wheel)	noun	draft	h₃nobʰeh₂	
14056	vezuɣoizós	personal epithet lit. 'good spear'	noun (name)	draft		
14503	kvetwarɣimós	four year old (lit. three winter)	adj	draft	kʷetwr̥ǵʰimos	
15155	katugantós	personal name, lit. 'battle-born; warrior name'	noun (name)	draft		
15307	sūl	sun	noun	draft	suh₂l	
15674	penkveɣimonóman	fifth-year name; personal name given after five years or winters old (lit. fifth-winter name)	noun	draft		
15787	ɣoizorḗks	royal epithet lit. spear-king	noun (name)	draft		
15838	sékvetor	to be following	verb	draft	sékʷetor	
15921	βā́gos	oath, pledge, promise	noun	canon		
16044	penkveɣimós	five year old (lit. five winter)	adj	draft		
16136	kaptós	captured, imprisoned, enslaved	adj	canon	kaptós	
17054	meliménezā	personal name, lit. 'honey-mind / honey-thought'	noun (name)	draft		
17442	ɣímos	winter	noun	draft	ǵʰimos	
17505	teutā́	people, tribe	noun	draft		
18645	amβi	around	adv	draft	h₂m̥bʰi	
20452	vópsā	wasp	noun	canon		
20793	skválos	large fish or whale; sea monster	noun	canon		
20904	datós	given	adj	draft	dh₃tós	
20911	péruti	last year, a year ago	adv	draft	péruti	
22742	kaɣíom	enclosure	noun	canon		
23919	svépnos	sleep	noun	draft	swépnos	
25004	klutonóman	reputation-name; fame-name; epithet of the especially famous or infamous	noun	draft		
25346	meliménos	personal name, lit. 'honey-mind / honey-thought'	noun (name)	draft		
26162	krépos	dead body, corpse, cadaver (taboo)	noun	canon		
27254	plévī	rudder	noun	hold		
27536	arktoménos	personal epithet lit. 'bear-mind'	noun (name)	draft		
27730	megés	1.sg genitive pronoun	pronoun	draft	meǵés	
29049	neɣʷrós	kidney	noun	draft	negʷʰrós	
29255	vezugantós	personal epithet lit. 'good/well born'	noun (name)	draft		
29800	néi	not indeed; emphatically not; if not; unless	particle	draft		
30097	vezugénos	personal epithet lit. 'good family'	noun (name)	draft		
30348	katuékvos	personal name, lit. 'battle-horse'	noun (name)	draft		
30393	βatonóman	religious name; divinely or ritually conferred name	noun	draft		
31413	ís	pronoun, 3sg masculine	pronoun	draft	ís	
31676	íd	pronoun, 3sg neuter	pronoun	draft		
32295	katuárktos	personal name, lit. 'battle-bear; warrior name'	noun (name)	draft		
32335	ég	pronoun, 1.sg nominative	pronoun	draft	éǵh₂	
32914	svādugantós	personal name, lit. 'sweet-born'	noun (name)	draft		
33038	morianɣvís	sea-serpent	noun	canon		
33753	svekrús	mother-in-law	noun	draft		
34142	manús	small, tiny	adj	canon		
34782	megéi	1.sg dative pronoun	pronoun	draft	meǵéi	
35073	dwiɣimós	two year old (lit. two winter)	adj	draft	dwiǵʰimos	
35282	alβárktos	white-bear	noun	canon		
35318	vezuklévezos	personal epithet lit. 'good (and) famous'	noun (name)	draft		
36143	melisvādús	personal name, lit. 'honey-sweet'	noun (name)	draft		
36683	téktō	craftsperson, maker, smith	noun	draft	tétḱō	
37098	tigrís	large, striped, predatory cat of forest environs	noun	canon		
37205	árktī	she-bear	noun	draft		
37485	leiðrā	pour, measure; ingot	noun	draft		
37884	sī́	3sg feminine pronoun	pronoun	draft		
38925	melī́nā	personal name, lit. 'honey-do'	noun (name)	draft		
39644	vezuvḗros	personal epithet lit. 'good (and) true'	noun (name)	draft		
39710	smervom	grease	noun	hold		
42889	koriorḗks	personal name, lit. 'army-king'	noun (name)	draft		
42933	viðús	wild areas between farms/fields/settlements	noun	hold		
43442	kvetvóres	four (4)	num	canon		
43725	teutorḗks	personal name, lit. 'people-king'	noun (name)	draft		
44532	álizos	alder (tree)	noun	canon		
44906	sāl	sun	noun	draft	seh₂wl̥	
45192	karznóm	top of the skull	noun	draft	ḱr̥h₂snóm	
45240	ðubuménos	personal epithet, lit. ‘deep mind’	noun (name)	draft		
45853	sokiós	friend, ally	noun	canon		
46743	vezuválkvos	personal epithet lit. 'good wolf'	noun (name)	draft		
46791	átnos	year	noun	draft	h₂etnos	
46819	ɣórtiom	farm	noun	canon		
47158	vezuklatús	personal epithet lit. 'good battle'	noun (name)	draft		
47690	βoiðā́	pledge, oath, contract	noun	hold		
48466	varmís	worm	noun	canon		
49233	penkvedekam	fifteen (15)	num	draft		
49473	vezukórios	personal epithet lit. 'good army'	noun (name)	draft		
49865	alnós	all, every	adj	canon		
50724	vā́ks	duck	noun	canon	wn̥h₁yeh₂	
50732	keitís	sea monster	noun	canon		
50782	mégios	my	adj	draft	mégyos	
51250	koriopatḗr	personal name, lit. 'army-father'	noun (name)	draft		
51343	nevandekam	nineteen (19)	num	draft		
51419	vḗsti	to graze, consume, eat	verb	hold	wḗsti	
51578	sokioménos	personal name, lit. 'friend-mind / friend-thought'	noun (name)	draft		
52431	svoidos	sweat	noun	draft	swoydos	
52579	vezuménezā	personal epithet lit. 'good mind / good thought'	noun (name)	draft		
52889	datonóman	personal epithet’ (lit. given-name)	noun	draft		
53182	menús	small	adj	canon		
53519	válkvelos	personal name, lit. 'little wolf'	noun (name)	draft		
54599	vezuvḗrā	personal epithet lit. 'good (and) true'	noun (name)	draft		
54717	kveturdekám	fourteen (14)	num	draft		
55168	vēroɣoizós	personal name, lit. 'true spear'	noun (name)	draft		
55181	vērorḗks	personal name, lit. 'true king'	noun (name)	draft		
55402	svādurḗks	personal name, lit. 'sweet/kind king'	noun (name)	draft		
57077	svādugénos	personal name, lit. 'sweet/kind family'	noun (name)	draft		
57894	kvṓ	dog	noun	canon	ḱwṓ	
58225	vērokā́relā	personal name, lit. 'true little dear one'	noun (name)	draft		
58497	vezuklévā	personal epithet lit. 'good (and) famous'	noun (name)	draft		
59212	káptos	captive, prisoner	noun	canon		
59293	oinodékam	eleven (11)	num	draft		
59682	dapnóm	sacrifice	noun	canon		
60296	palzā́	cliff	noun	draft		
60751	vezudékos	personal epithet, lit. 'good morality / good manners'	noun (name)	draft		
60873	korioɣoizós	personal name, lit. 'army-spear'	noun (name)	draft		
60937	triɣimós	three year old (lit. three winter)	adj	draft	triǵʰimos	
61193	svāduménezos	personal name, lit. 'sweet mind / sweet thought'	noun (name)	draft		
61395	ánteros	second, other	det	draft	h₂énteros	
62772	taltós	lifted, raised	adj	canon		
62986	ðubuménezā	personal epithet lit. 'smart; lit. deep mind'	noun (name)	draft		
63591	móriarksos	predatory sea mammal (lit. sea-bear)	noun	canon		
63764	melískos	personal name, lit. 'honey-ish (rare)'	noun (name)	draft		
63803	mégam	pronoun, 1.sg accusative	pronoun	draft	méǵm̥	
63954	βissós	trusted	adj	canon		
64238	meliárktos	personal name, lit. 'honey-bear'	noun (name)	draft		
64240	pétrā	feather	noun	canon		
64726	néve	nor; or not; neither	particle	draft		
64783	nékve	nor; and not; not either	adv	draft	nékʷe	
65749	mélðō	the one who smashes (name of Agnis’s hammer)	noun	draft		
67009	iṓr	year	noun	draft		
68178	seksdekam	sixteen (16)	num	draft		
69052	árkvos	arrow	noun	canon		
69082	déukti	to lead	verb	draft		
69320	vézonts	bison	noun	canon		
69474	moréieti	kill (make die)	verb	draft	moréyeti	
69514	septamdekam	seventeen (17)	num	draft		
69706	gvoukólos	cowherd	noun	draft	gʷowkólos	
70789	dvís	twice	adv	draft		
71261	vezukā́relā	personal name, lit. 'good little dear one'	noun (name)	draft		
71553	vezuménezos	personal epithet lit. 'good mind / good thought'	noun (name)	draft		
72297	melī́nos	personal name, lit. 'honey-do (rare)'	noun (name)	draft		
72428	akuɣoizós	personal epithet, lit. 'sharp spear'	noun (name)	draft		
73155	tridekam	thirteen (13)	num	draft		
74797	dvidekam	twelve (12)	num	draft		
75078	βāgodrevís	beech-tree	noun	canon		
75291	svā́delā	personal name, lit. 'little sweet one'	noun (name)	draft		
75989	kóimos	settlement, camp; home	noun	canon		
76085	virós	man; husband	noun	canon		
76960	likrā́	liver	noun	canon	likʷréh₂	
77522	móriekvos	a sea creature	noun	canon		
77748	iós	which	det	draft	h₁yós	
77899	keivís	citizen, settled person	noun	canon		
79033	ávi	on the other hand; however	particle	draft		
79327	oinoɣimós	one year old (lit. one winter)	adj	draft	h₁oynoǵʰimos	
79442	sedlom	seat	noun	draft		
79567	ɣvérō	the warm one (epithet of Agnis)	noun	draft		
81453	βornóman	birth-name (place-holder name given at birth)	noun	draft		
81501	tritós	third	det	draft		
82221	kánaps	cannabis, hemp	noun	draft		
83393	kāros	dear, beloved	adj	canon	keh₂.rós	
83523	smervos	greasy	adj	hold		
84143	auzantóm	gold	noun	draft		
84164	vērorégus	personal name, lit. 'true rule / true authority'	noun (name)	draft		
84219	válkvelā	personal name, lit. 'little wolf'	noun (name)	draft		
84488	úznos	onion	noun	canon		
84597	vezurḗks	royal epithet lit. good-king	noun (name)	draft		
85006	báktrom	staff	noun	canon		
85106	megḗ	1.sg locative pronoun	pronoun	draft	meǵéh₁	
85300	kā́relā	personal epithet, lit. 'little dear (one)’	noun (name)	draft		
85569	oktōdekam	eighteen (18)	num	draft		
86586	kózlos	hazel (tree)	noun	canon		
86764	palzóm	boulder	noun	draft		
87009	ekvorḗks	royal epithet lit. horse-king	noun (name)	draft		
87652	vikpotís	chief, village-head, head-man, boss	noun	hold		
87679	punezḗman	spark (poetic/kenning)	noun	canon		
87829	korioɣostís	personal name, lit. 'army-guest'	noun (name)	draft		
88039	kanónkom	honey	noun	draft	kn̥h₂ónks	
88655	genús	jaw	noun	canon		
89141	svépeti	to sleep	verb	hold	swépeti	
90462	nóβōl	navel	noun	draft	h₃nóbʰōl	
90486	egóm	pronoun, 1.sg nominative emphatic	pronoun	draft		
90737	káipā	onion	noun	canon		
91159	melískā	personal name, lit. 'honey-ish'	noun (name)	draft		
91582	skótus	shadow	noun	hold		
